cantidad,C++,desv_estandar,lim_max,lim_min
100,0.000505,4.9e-05,0.000553,0.000456
1000,0.00085,5.2e-05,0.000902,0.000799
2000,0.001574,0.000481,0.002055,0.001093
3000,0.001696,0.000126,0.001822,0.00157
4000,0.003398,0.002469,0.005867,0.000929
5000,0.002429,5.5e-05,0.002484,0.002375
6000,0.002925,0.000124,0.003049,0.002801
7000,0.003394,0.000218,0.003612,0.003176
8000,0.003988,0.000487,0.004474,0.003501
9000,0.00412,0.000181,0.004301,0.003939
10000,0.0047,0.00029,0.00499,0.00441
20000,0.009062,0.000274,0.009337,0.008788
30000,0.01318,0.000115,0.013295,0.013065
40000,0.01858,0.001031,0.019611,0.017549
50000,0.022693,0.001548,0.024241,0.021144
