cantidad,Golang,desv_estandar,lim_max,lim_min
100,0.000227,0.000278,0.000505,-5.1e-05
1000,0.001113,0.001147,0.00226,-3.5e-05
2000,0.00188,0.000297,0.002177,0.001583
3000,0.003172,0.000225,0.003397,0.002947
4000,0.004691,0.000264,0.004955,0.004426
5000,0.006384,0.00026,0.006644,0.006124
6000,0.008773,0.000949,0.009722,0.007824
7000,0.01045,0.000267,0.010718,0.010183
8000,0.013188,0.000331,0.013519,0.012857
9000,0.016326,0.000955,0.017282,0.015371
10000,0.019185,0.00045,0.019635,0.018735
20000,0.062971,0.000338,0.063309,0.062633
30000,0.134754,0.002914,0.137668,0.13184
40000,0.237646,0.009486,0.247132,0.22816
50000,0.357538,0.012083,0.369621,0.345455
